学号,语文成绩,数学成绩,英语成绩,综合成绩
205,29.3,68.3,33.2,50.7
206,35.9,64.2,64.1,70.6
207,57.7,62.7,37.4,35.3
208,57.7,71.6,68.2,48.1
209,57.7,79.6,66.3,68.3
210,100.0,43.5,31.4,32.6
211,58.6,43.5,27.5,56.4
212,67.0,40.9,34.1,54.1
213,64.3,35.7,55.4,56.8
214,59.8,27.7,69.6,49.6
215,45.3,43.3,73.1,41.0
216,61.4,47.6,34.6,70.7
217,38.4,32.8,38.6,56.0
218,46.4,43.0,20.9,27.9
219,42.7,46.6,57.7,68.3
220,51.2,44.2,48.0,60.1
221,84.7,42.1,44.8,53.1
222,22.0,44.1,40.0,56.4
223,60.3,56.0,56.6,60.8
224,25.8,39.9,35.7,54.9
225,42.9,31.2,52.3,22.5
226,66.3,50.2,39.3,57.2
227,51.0,38.3,57.8,34.5
228,33.8,55.1,62.5,75.6
229,39.3,28.2,48.8,59.0
230,60.2,55.9,27.7,65.5
231,39.0,50.0,61.5,65.8
232,53.2,59.1,58.2,56.1
233,50.7,23.0,54.7,52.8
234,40.2,22.3,57.0,65.3
235,82.2,48.9,57.0,43.9
236,59.5,32.9,60.1,21.2
237,19.6,41.8,39.1,35.8
238,52.8,71.7,41.9,36.2
239,40.1,52.9,49.0,46.6
240,62.8,35.4,43.8,55.0
241,38.1,53.2,61.4,14.8
242,48.3,48.3,39.4,53.3
243,57.6,50.7,93.8,62.8
244,63.0,87.7,55.4,64.8
245,32.0,61.6,42.7,73.5
246,45.0,23.8,42.6,48.4
247,42.9,89.3,44.4,57.7
248,40.2,41.4,58.6,43.0
249,76.5,51.1,21.5,29.0
250,56.1,27.7,20.0,47.0
251,31.1,48.0,61.9,21.0
252,63.8,37.4,49.6,62.9
253,81.8,43.4,48.5,53.0
254,65.5,42.2,54.4,21.0
255,27.2,67.6,49.7,38.0
256,42.7,52.1,58.1,36.5
257,69.0,77.3,29.2,19.3
258,39.4,46.7,41.2,66.7
259,56.7,51.8,52.6,31.9
260,61.6,51.4,36.9,71.8
261,36.1,66.8,51.2,46.0
262,49.1,67.8,54.4,47.9
263,1.4,40.8,38.1,52.2
264,34.6,38.8,19.1,32.5
265,46.2,45.5,60.4,42.4
266,31.3,42.0,69.8,34.6
267,74.5,25.5,65.3,55.8
268,28.5,51.2,11.9,55.4
269,43.4,57.7,52.4,51.0
270,52.0,53.8,66.1,40.8
271,71.6,47.5,72.6,59.1
272,28.5,56.6,25.4,71.6
273,67.4,76.2,53.2,71.7
274,50.2,55.1,27.4,39.2
275,35.3,43.1,28.0,82.0
276,56.9,58.3,56.2,42.3
277,53.0,68.3,47.6,49.9
278,41.0,59.4,53.6,29.9
279,51.0,65.4,32.0,61.4
280,44.2,43.3,40.1,19.6
281,51.7,53.6,39.7,46.2
282,59.9,83.1,30.4,59.4
283,73.8,56.9,57.0,56.1
284,31.4,37.2,47.2,55.8
285,82.0,42.4,33.5,52.4
286,20.7,77.2,34.8,44.7
287,47.7,49.7,58.6,65.0
288,58.8,61.1,45.9,43.1
289,54.2,42.4,46.7,38.4
290,40.7,36.3,52.1,65.3
291,46.9,33.8,58.1,57.4
292,42.6,55.9,53.4,74.6
293,41.2,81.4,42.3,36.5
294,62.7,55.0,47.2,68.0
295,55.4,58.1,68.4,67.3
296,39.6,47.2,53.5,41.5
297,63.5,38.3,28.7,20.0
298,54.6,40.2,50.7,71.5
299,62.2,34.1,67.8,56.4
300,59.4,45.1,42.4,36.6
301,37.6,40.1,55.7,48.2
302,41.6,51.9,67.3,61.6
303,61.2,76.2,42.1,64.4
304,59.2,70.2,42.2,19.3
305,49.7,47.6,31.4,97.8
306,51.8,38.9,76.1,64.6
307,69.2,57.6,70.5,42.7
308,41.1,18.7,46.9,60.3
309,58.2,54.7,73.6,68.8
310,47.0,26.6,22.7,53.1
311,46.7,52.8,52.7,39.7
312,66.5,65.6,38.4,28.7
313,62.4,61.8,24.8,64.1
314,62.2,69.3,73.0,32.4
315,69.6,46.6,48.8,53.5
316,50.3,53.1,60.3,46.2
317,60.2,50.4,76.6,67.9
318,45.3,57.5,30.7,58.9
319,54.9,30.1,36.9,41.4
320,48.0,48.8,53.5,40.2
321,51.5,51.8,48.4,51.5
322,58.9,54.5,33.7,76.5
323,37.7,37.7,75.4,61.5
324,81.4,67.9,67.4,50.5
325,34.9,49.8,49.0,60.1
326,31.8,56.0,37.7,50.3
327,67.4,32.6,40.4,52.8
328,61.9,39.1,40.8,58.1
329,59.4,46.2,53.3,63.5
330,59.4,74.6,55.1,45.8
331,49.8,60.5,53.7,46.6
332,36.5,73.7,73.5,35.4
333,51.1,35.8,77.5,16.9
334,39.8,79.9,56.1,31.9
335,64.6,60.3,28.1,38.7
336,47.8,65.4,52.3,60.1
337,37.6,28.0,32.6,66.4
338,45.2,29.0,72.6,57.7
339,56.2,40.4,65.9,67.0
340,41.5,56.8,43.0,51.8
341,37.7,61.7,51.9,29.8
342,53.7,51.6,35.9,24.8
343,53.7,35.8,30.0,31.4
344,42.4,67.8,71.4,40.1
345,42.9,57.1,40.1,31.4
346,53.5,32.8,26.7,40.8
347,28.3,24.5,32.7,52.4
348,28.9,42.2,23.7,68.7
349,39.2,36.9,48.0,49.6
350,46.8,51.0,58.4,23.3
351,54.7,54.8,67.6,37.2
352,72.1,44.1,51.0,22.4
353,62.9,57.3,31.2,29.6
354,47.6,50.0,52.8,33.1
355,49.7,31.7,65.8,64.3
356,35.0,43.9,31.6,45.9
357,49.7,51.3,49.1,57.5
358,45.7,34.8,35.6,10.0
359,54.8,54.3,50.1,28.0
360,37.6,86.9,52.6,42.2
361,57.8,72.6,38.6,30.9
362,73.0,60.5,39.8,19.8
363,48.4,72.1,46.7,37.8
364,56.0,57.8,44.4,47.1
365,60.4,55.5,36.4,41.2
366,44.0,51.0,50.2,46.4
367,53.4,66.9,50.0,36.7
368,50.2,60.9,22.5,65.9
369,51.5,31.9,31.4,41.4
370,38.4,40.1,54.4,40.2
371,50.4,78.4,34.6,57.7
372,57.5,48.6,40.9,62.2
373,71.8,54.2,58.8,45.8
374,64.4,40.6,39.3,55.9
375,82.3,68.2,50.5,56.7
376,38.5,57.5,71.7,35.1
377,63.1,49.5,71.0,61.0
378,52.8,58.2,49.1,54.0
379,82.8,46.5,47.0,63.2
380,37.9,44.0,60.9,56.4
381,37.4,31.9,39.4,52.2
382,41.0,58.0,32.6,66.2
383,18.1,68.2,11.6,39.8
384,42.1,56.2,55.4,25.0
385,38.6,40.8,45.7,32.2
386,52.3,50.8,53.0,53.3
387,55.1,76.6,69.1,58.1
388,78.1,59.7,39.0,58.6
389,64.3,22.4,41.2,42.3
390,41.3,43.2,62.8,69.2
391,36.5,23.3,69.3,49.3
392,57.4,71.5,29.0,49.1
393,30.2,50.0,29.3,63.4
394,77.5,60.4,79.4,20.7
395,67.7,54.1,64.7,54.3
396,43.0,40.6,58.8,28.1
397,24.3,71.9,28.6,51.5
398,70.3,33.6,55.0,83.5
399,48.3,25.3,61.4,31.9
400,68.6,63.1,41.7,44.9
401,26.1,64.3,61.2,31.0
402,41.0,53.6,47.6,55.4
403,50.1,64.1,60.9,19.9
404,50.7,35.9,34.2,21.3
405,43.2,39.1,69.3,42.9
406,59.3,44.8,69.0,61.6
407,34.0,28.4,29.8,44.8
408,47.9,71.4,34.7,28.3
409,51.8,49.8,35.5,68.3
410,57.7,34.4,54.7,59.9
411,60.7,26.4,45.8,51.0
412,33.1,41.0,61.7,51.3
413,27.0,54.1,66.9,82.5
414,69.2,35.9,44.7,77.5
415,55.0,53.5,26.6,62.0
416,38.8,45.8,39.2,48.3
417,73.3,59.6,67.4,51.5
418,51.7,28.9,72.0,45.3
419,67.7,25.7,75.2,60.2
420,51.0,64.0,54.1,53.4
421,80.9,39.5,47.6,48.7
422,76.3,85.8,24.1,60.5
423,46.3,32.6,37.8,71.1
424,64.6,68.2,37.7,36.8
425,59.7,72.2,31.8,41.8
426,70.5,41.1,50.2,17.9
427,35.5,59.1,38.8,68.8
428,60.3,47.3,45.5,40.6
429,65.9,65.1,40.1,13.5
430,23.6,40.7,26.5,45.6
431,32.3,56.3,51.8,36.8
432,19.4,41.0,60.3,38.1
433,46.0,82.3,39.6,56.2
434,60.8,64.3,61.3,75.1
435,72.5,47.8,32.7,52.7
436,51.1,68.9,37.7,39.7
437,74.4,42.0,75.1,48.0
438,29.3,54.1,47.9,60.0
439,24.4,50.2,67.0,49.6
440,49.2,57.3,33.5,77.0
441,55.8,55.9,51.3,67.2
442,49.5,36.2,49.7,42.7
443,19.0,66.2,65.5,39.5
444,48.7,38.4,45.9,52.7
445,30.4,60.0,40.0,59.3
446,60.0,65.5,63.3,62.7
447,55.5,74.1,39.4,29.9
448,35.9,71.2,40.4,70.0
449,42.3,31.3,34.4,72.3
450,34.1,72.0,49.7,54.2
451,49.1,56.7,66.1,60.3
452,64.3,35.0,59.6,55.1
453,35.2,31.5,63.1,61.7
454,57.6,19.2,48.2,19.1
455,42.0,17.8,42.3,51.0
456,38.1,33.1,48.3,59.3
457,48.4,19.0,64.7,63.0
458,34.5,49.3,42.9,40.1
459,41.7,39.2,46.3,30.3
460,32.0,61.1,26.8,32.9
461,79.5,72.2,36.3,38.6
462,50.5,45.9,32.2,62.8
463,39.5,24.9,61.8,69.8
464,53.2,38.0,44.8,48.2
465,48.3,45.7,72.5,25.0
466,46.7,78.3,52.2,32.9
467,59.2,22.2,52.2,49.5
468,61.4,63.2,55.8,28.3
469,42.0,71.6,26.8,41.3
470,41.4,67.4,50.6,40.4
471,45.9,30.7,73.6,37.8
472,15.5,46.5,42.7,33.3
473,27.3,36.1,47.4,43.9
474,70.5,31.5,56.0,29.9
475,74.7,61.4,42.1,49.6
476,46.3,49.4,29.5,47.1
477,58.6,46.7,48.9,43.0
478,54.7,29.3,48.9,61.6
479,96.2,33.6,39.5,53.4
480,66.8,36.6,30.4,43.4
481,48.1,44.9,33.9,62.8
482,35.7,81.6,59.4,54.1
483,25.9,27.2,42.0,47.6
484,53.1,73.6,37.0,24.8
485,38.7,58.0,67.3,54.8
486,28.7,37.5,40.9,46.0
487,40.3,64.3,46.7,40.9
488,33.8,18.0,32.1,29.3
489,75.3,24.2,56.8,60.9
490,63.2,31.8,57.5,55.3
491,49.9,50.6,65.7,25.4
492,72.2,54.8,50.8,52.4
493,51.2,47.1,71.0,58.4
494,37.1,53.6,61.3,71.5
495,72.8,35.1,48.6,49.2
496,58.1,94.2,53.3,54.8
497,34.4,47.0,49.3,52.7
498,47.1,13.2,28.8,48.4
499,36.9,61.2,44.5,76.6
500,29.3,40.2,42.0,39.9
501,63.9,36.1,46.2,51.4
502,78.6,53.9,53.6,62.8
503,29.0,60.4,41.8,60.4
504,58.4,49.6,55.7,45.4
505,40.2,59.7,34.3,56.1
506,42.7,41.1,55.6,77.6
507,41.1,71.2,44.3,53.8
508,37.0,57.2,43.9,45.9
509,50.7,31.4,55.2,33.4
510,37.5,60.5,49.8,13.1
511,54.1,49.6,42.7,48.4
512,49.2,36.4,62.1,44.3
513,46.4,29.5,31.0,30.2
514,36.4,23.4,41.6,46.9
515,41.3,71.9,36.0,63.6
516,61.3,56.5,49.6,44.7
517,57.5,47.3,40.6,37.7
518,35.3,76.5,55.6,42.7
519,51.5,86.9,47.5,57.7
520,61.3,64.2,43.1,23.5
521,25.0,57.2,42.9,39.2
522,58.2,54.9,79.2,39.8
523,40.1,66.8,49.6,32.7
524,58.6,51.2,36.5,53.9
525,38.6,19.7,54.7,43.3
526,22.9,43.9,53.4,25.6
527,25.6,43.6,48.3,60.9
528,50.7,40.2,30.2,48.6
529,53.9,58.6,43.2,63.8
530,36.4,11.8,77.9,36.7
531,59.6,19.1,47.1,42.0
532,25.1,52.5,55.4,19.7
533,49.0,51.9,32.7,72.1
534,31.8,51.2,48.7,50.4
535,40.2,43.2,42.0,57.2
536,50.7,54.9,54.4,38.3
537,37.1,44.0,31.5,43.9
538,44.2,61.1,30.0,45.6
539,65.1,5.5,48.8,57.4
540,41.3,49.8,78.0,61.1
541,62.5,52.3,47.7,57.3
542,33.1,25.2,42.7,61.0
543,57.9,16.9,52.2,52.0
544,71.6,48.9,23.6,70.9
545,12.9,31.4,42.9,64.8
546,38.0,36.8,37.7,40.4
547,58.7,58.7,48.0,59.1
548,47.0,55.2,45.3,76.8
549,55.6,63.5,39.6,55.1
550,40.9,84.9,33.9,34.5
551,51.3,57.3,78.0,56.8
552,47.7,73.3,56.7,36.9
553,67.5,40.7,43.1,34.4
554,53.8,23.0,69.1,44.9
555,55.1,26.4,28.7,53.1
556,43.8,23.7,58.2,58.2
557,42.7,61.0,32.9,69.1
558,43.5,85.5,58.9,31.2
559,55.9,39.9,69.1,41.6
560,43.7,14.8,64.0,44.7
561,54.3,49.2,40.9,50.3
562,81.1,45.6,44.1,46.4
563,63.1,32.7,70.2,50.4
564,45.1,62.5,39.0,54.8
565,68.0,40.2,32.0,74.7
566,43.9,53.4,47.0,66.6
567,19.4,56.6,56.4,23.4
568,34.9,50.5,39.8,46.4
569,21.9,44.4,66.2,29.0
570,44.7,49.7,32.0,54.7
571,50.3,37.2,67.4,49.5
572,75.1,52.5,57.4,18.1
573,54.9,56.8,49.8,49.3
574,46.7,30.1,63.7,84.2
575,62.4,36.0,30.0,51.1
576,16.8,45.9,54.4,62.3
577,53.5,40.4,28.6,54.6
578,61.6,34.4,48.5,88.1
579,27.8,50.3,35.8,54.0
580,67.2,57.9,44.5,45.8
581,55.1,13.0,39.0,52.0
582,43.8,53.6,20.8,35.2
583,59.5,65.3,58.0,54.2
584,84.1,30.5,37.7,37.8
585,52.7,68.7,68.1,31.8
586,53.7,59.0,58.3,40.3
587,43.1,33.7,26.6,59.1
588,37.3,32.3,33.8,48.5
589,62.5,50.3,66.5,53.6
590,37.2,42.3,48.5,51.4
591,51.1,39.1,44.7,22.8
592,42.8,81.0,66.7,31.1
593,57.2,65.2,63.4,56.9
594,55.0,40.5,60.6,76.5
595,65.6,54.8,60.7,55.4
596,42.3,51.5,74.1,38.1
597,46.0,60.8,68.7,44.7
598,35.3,47.1,42.0,89.0
599,43.3,71.8,37.3,53.1
600,55.7,74.6,62.7,67.5
601,61.4,49.1,57.9,44.7
602,36.2,57.2,45.6,65.3
603,63.0,61.6,26.7,51.5
604,70.3,49.4,31.6,54.2
605,56.2,46.2,51.8,47.5
606,78.2,58.0,28.3,29.0
607,38.4,53.0,63.5,69.3
608,31.3,73.0,65.1,58.4
609,23.3,55.4,81.9,75.2
610,72.4,77.5,62.9,44.4
611,59.8,32.3,77.1,51.1
612,49.2,42.9,37.3,44.3
613,54.2,41.3,55.5,62.1
614,33.1,46.3,46.7,57.3
615,86.7,44.8,53.3,47.2
616,51.9,24.7,40.0,64.0
617,51.6,68.4,69.1,18.2
618,60.9,49.8,74.4,57.8
619,57.2,47.2,41.9,69.7
620,53.4,48.7,35.3,66.5
621,38.1,49.8,76.8,45.6
622,57.1,44.3,28.8,50.2
623,78.2,26.0,55.4,67.3
624,70.2,55.2,55.3,74.0
625,73.9,51.8,59.3,27.6
626,42.3,53.9,17.5,61.8
627,35.2,34.5,56.3,46.2
628,48.1,55.1,29.9,57.3
629,50.8,7.8,36.7,43.3
630,66.4,82.8,40.0,63.0
631,24.6,62.4,56.1,42.5
632,72.9,39.2,22.4,54.0
633,47.6,85.1,29.4,68.1
634,43.6,46.2,62.6,40.6
635,34.8,25.2,44.6,53.6
636,25.2,24.2,55.3,50.8
637,62.3,31.9,66.3,37.6
638,51.1,62.7,51.8,34.7
639,30.7,53.7,55.2,40.2
640,30.6,71.5,57.0,47.1
641,45.0,70.0,56.9,49.2
642,75.0,73.7,39.0,35.1
643,46.1,40.5,47.6,61.4
644,27.5,47.7,57.2,37.9
645,46.3,34.9,66.2,74.0
646,45.9,60.8,75.2,66.5
647,9.5,29.6,54.4,47.2
648,49.2,58.2,72.3,45.9
649,46.5,35.2,26.8,43.3
650,60.4,55.9,58.2,46.5
651,77.7,21.6,47.0,63.9
652,66.9,44.5,49.2,43.2
653,46.0,31.8,17.0,56.9
654,33.4,35.3,62.3,32.5
655,88.6,49.3,58.5,46.3
656,50.9,23.1,49.2,54.0
657,50.2,31.1,55.3,30.3
658,49.6,38.6,49.0,63.7
659,53.0,60.4,46.5,43.3
660,47.8,39.9,47.9,42.4
661,41.4,46.0,40.0,41.2
662,41.8,37.2,100.0,35.5
663,49.5,39.6,44.8,61.6
664,41.8,58.6,68.6,82.5
665,39.3,61.4,64.9,62.7
666,51.6,60.3,61.6,62.8
667,46.2,80.6,73.9,35.8
668,72.6,61.9,40.4,53.5
669,10.2,59.6,17.9,54.7
670,66.4,33.5,41.6,29.6
671,68.7,44.2,84.8,29.9
672,18.9,56.3,55.0,53.1
673,44.9,61.4,36.6,38.6
674,44.4,68.2,60.6,47.1
675,28.9,42.6,51.0,54.7
676,38.3,65.5,37.5,47.0
677,33.3,46.5,41.0,49.0
678,76.3,60.5,64.4,38.2
679,64.0,22.2,59.4,67.1
680,69.1,74.6,55.3,49.6
681,60.8,62.8,58.0,29.9
682,33.1,43.0,42.5,56.3
683,42.1,59.6,67.6,57.8
684,57.3,61.4,41.5,44.6
685,31.7,74.2,61.0,34.2
686,60.7,45.2,15.3,61.2
687,46.4,36.4,53.9,60.6
688,44.4,58.0,60.4,31.3
689,60.7,44.6,52.4,44.0
690,56.7,74.3,50.9,31.6
691,44.6,45.5,69.6,47.4
692,67.4,54.3,34.7,57.7
693,33.8,41.6,41.7,26.4
694,59.2,53.1,51.3,41.5
695,58.9,50.9,13.0,33.5
696,45.4,31.9,48.0,40.1
697,54.9,52.7,73.4,53.4
698,31.2,28.0,49.4,71.5
699,63.9,64.2,49.1,52.7
700,47.2,70.1,50.6,44.0
701,42.2,39.7,38.0,76.9
702,65.7,63.0,22.2,61.8
703,39.4,48.4,36.7,17.8
704,28.9,58.9,52.5,62.4
705,26.7,53.9,33.3,36.1
706,59.1,43.2,41.6,21.9
707,30.8,31.4,38.9,48.1
708,76.3,71.1,25.1,53.1
709,18.8,70.9,80.4,50.0
710,75.4,49.4,26.7,37.3
711,53.2,41.9,76.4,70.8
712,48.5,55.0,47.4,65.7
713,41.8,45.8,68.0,57.0
714,56.0,31.3,29.6,50.2
715,49.4,60.1,66.8,54.7
716,66.5,50.3,55.9,68.0
717,51.7,45.3,24.2,67.1
718,52.3,40.8,59.2,77.0
719,44.5,51.4,58.6,42.8
720,49.1,49.9,60.5,57.8
721,54.6,58.0,59.1,43.3
722,24.3,55.4,29.1,59.2
723,29.8,61.5,55.2,45.1
724,61.1,20.1,40.2,63.1
725,52.6,52.5,41.8,51.0
726,47.2,62.6,39.6,45.3
727,50.3,57.7,45.1,58.9
728,55.2,69.6,64.7,57.0
729,41.9,39.0,67.7,80.2
730,38.3,56.2,63.2,58.4
731,52.9,36.2,34.7,66.7
732,35.3,80.1,25.8,41.5
733,56.1,43.0,59.5,58.0
734,24.5,45.5,30.0,49.7
735,65.4,59.8,65.5,44.3
736,57.1,38.7,50.9,48.9
737,53.8,30.2,49.3,68.4
738,64.7,74.0,61.3,51.9
739,75.0,68.2,71.2,36.8
740,65.2,57.2,53.6,39.1
741,22.4,44.2,36.7,32.1
742,30.8,63.1,44.8,46.8
743,40.6,26.9,38.7,44.9
744,50.4,27.3,62.6,73.3
745,57.8,32.2,24.2,37.9
746,39.1,44.7,24.3,69.5
747,52.8,56.1,72.1,32.2
748,38.7,41.0,62.3,43.7
749,40.8,43.6,50.3,38.7
750,28.9,43.4,74.5,84.3
751,36.2,59.6,39.4,48.6
752,29.7,47.9,59.8,79.0
753,35.4,44.4,20.6,19.0
754,65.8,27.6,59.4,57.8
755,35.8,42.6,43.6,57.7
756,89.5,44.8,12.3,42.7
757,57.4,22.5,53.7,64.3
758,52.8,45.2,57.5,49.3
759,37.1,47.4,69.3,40.6
760,60.5,37.2,27.5,57.2
761,41.4,52.4,67.7,37.4
762,51.8,67.1,48.5,40.2
763,88.4,82.4,41.6,55.3
764,48.6,46.5,40.4,14.5
765,67.2,38.5,33.0,66.8
766,39.5,37.1,79.9,75.0
767,49.5,56.6,60.4,48.3
768,76.6,22.1,47.8,74.4
769,40.6,69.9,59.9,49.7
770,77.2,35.8,44.7,50.6
771,60.6,62.3,70.1,62.8
772,41.6,29.6,23.9,46.3
773,59.5,66.0,35.5,61.5
774,64.6,57.0,37.3,71.8
